METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID;geo_point_2d
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51481;"{""coordinates"": [-123.13984476193991, 49.26447709524787], ""type"": ""Point""}";Fairview;B81518;49.26447709524787, -123.13984476193991
Pay Station;$3.50;$4.00;$3.50;$4.00;$3.50;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;61736;"{""coordinates"": [-123.12069019283348, 49.27347111354578], ""type"": ""Point""}";Downtown;160114;49.27347111354578, -123.12069019283348
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;60177;;;160403;
Pay Station;$2.50;$2.00;$2.50;$2.00;$2.50;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;64851;"{""coordinates"": [-123.12651605666882, 49.27446796218472], ""type"": ""Point""}";Downtown;591313;49.27446796218472, -123.12651605666882
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52047;"{""coordinates"": [-123.13885635579037, 49.26457048819652], ""type"": ""Point""}";Fairview;B81501;49.26457048819652, -123.13885635579037
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;52389;"{""coordinates"": [-123.14333991875814, 49.26745778058222], ""type"": ""Point""}";Fairview;902005;49.26745778058222, -123.14333991875814
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52065;"{""coordinates"": [-123.14268894786875, 49.26536918047741], ""type"": ""Point""}";Fairview;B71634;49.26536918047741, -123.14268894786875
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52177;"{""coordinates"": [-123.14268894786875, 49.26536918047741], ""type"": ""Point""}";Fairview;B71636;49.26536918047741, -123.14268894786875
Twin;$2.00;$2.00;$2.00;$2.00;$2.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;65907;"{""coordinates"": [-123.12400241150108, 49.273738919370714], ""type"": ""Point""}";Downtown;170207;49.273738919370714, -123.12400241150108
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;No Time Limit;;No;57907;"{""coordinates"": [-123.10493591796222, 49.26434375823305], ""type"": ""Point""}";Mount Pleasant;752309;49.26434375823305, -123.10493591796222
Pay Station;$3.50;$4.00;$3.50;$4.00;$3.50;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;66192;"{""coordinates"": [-123.12510532678922, 49.272950525282546], ""type"": ""Point""}";Downtown;321334;49.272950525282546, -123.12510532678922
Pay Station;$2.50;$2.00;$2.50;$2.00;$2.50;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;62371;"{""coordinates"": [-123.1184035330374, 49.27434169514576], ""type"": ""Point""}";Downtown;281006;49.27434169514576, -123.1184035330374
Twin / Disability;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;$2.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;No;50462;"{""coordinates"": [-123.12028251485086, 49.262388346015285], ""type"": ""Point""}";Fairview;D00703;49.262388346015285, -123.12028251485086
Pay Station;$3.50;$4.00;$3.50;$4.00;$3.50;$4.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;62154;"{""coordinates"": [-123.12274599802535, 49.27353084385188], ""type"": ""Point""}";Downtown;321232;49.27353084385188, -123.12274599802535
Pay Station;$3.00;$2.00;$3.00;$2.00;$3.00;$2.00;$1.50;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;Yes;59986;"{""coordinates"": [-123.10599273935546, 49.27062373689215], ""type"": ""Point""}";Mount Pleasant;NA1620;49.27062373689215, -123.10599273935546
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53430;"{""coordinates"": [-123.14312816520575, 49.268193940497746], ""type"": ""Point""}";Fairview;901918;49.268193940497746, -123.14312816520575
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;13 Hrs;Yes;57932;"{""coordinates"": [-123.10720211355672, 49.26646453678499], ""type"": ""Point""}";Mount Pleasant;B50106;49.26646453678499, -123.10720211355672
Twin;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56243;"{""coordinates"": [-123.09709792723294, 49.26303895706217], ""type"": ""Point""}";Mount Pleasant;9B2419;49.26303895706217, -123.09709792723294
