METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,geo_point_2d,lon,lat
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50230,"""{""""coordinates"""": [-123.10628323236784, 49.26313027882786], """"type"""": """"Point""""}""",Mount Pleasant,300027,"49.26313027882786, -123.10628323236784",-123.10628323236784,49.26313027882786
Twin,$3.00,$3.00,$3.00,$3.00,$3.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,54655,"""{""""coordinates"""": [-123.15759910529154, 49.267973661045914], """"type"""": """"Point""""}""",Kitsilano,962001,"49.267973661045914, -123.15759910529154",-123.15759910529154,49.267973661045914
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54520,"""{""""coordinates"""": [-123.13778256947136, 49.265396993814505], """"type"""": """"Point""""}""",Fairview,B71439,"49.265396993814505, -123.13778256947136",-123.13778256947136,49.265396993814505
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51928,"""{""""coordinates"""": [-123.11736016026451, 49.264664512037434], """"type"""": """"Point""""}""",Fairview,802310,"49.264664512037434, -123.11736016026451",-123.11736016026451,49.264664512037434
Single Motorbike,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No,56551,"""{""""coordinates"""": [-123.15759366870523, 49.26806210029022], """"type"""": """"Point""""}""",Kitsilano,962097,"49.26806210029022, -123.15759366870523",-123.15759366870523,49.26806210029022
Twin,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,62430,"""{""""coordinates"""": [-123.12424516664251, 49.27370175132762], """"type"""": """"Point""""}""",Downtown,170208,"49.27370175132762, -123.12424516664251",-123.12424516664251,49.27370175132762
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56238,"""{""""coordinates"""": [-123.09769667849966, 49.2629003219387], """"type"""": """"Point""""}""",Mount Pleasant,310325,"49.2629003219387, -123.09769667849966",-123.09769667849966,49.2629003219387
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56241,"""{""""coordinates"""": [-123.09668988951711, 49.262867139989346], """"type"""": """"Point""""}""",Mount Pleasant,310349,"49.262867139989346, -123.09668988951711",-123.09668988951711,49.262867139989346
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54744,"""{""""coordinates"""": [-123.14459959174924, 49.26360671305371], """"type"""": """"Point""""}""",Fairview,301724,"49.26360671305371, -123.14459959174924",-123.14459959174924,49.26360671305371
Pay Station,$3.00,$3.00,$3.00,$3.00,$3.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,66901,"""{""""coordinates"""": [-123.11740097061636, 49.27921704745434], """"type"""": """"Point""""}""",Downtown,580811,"49.27921704745434, -123.11740097061636",-123.11740097061636,49.27921704745434
Pay Station,$8.00,$4.00,$8.00,$4.00,$8.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,67630,"""{""""coordinates"""": [-123.10937966100074, 49.2831640784353], """"type"""": """"Point""""}""",Downtown,560309,"49.2831640784353, -123.10937966100074",-123.10937966100074,49.2831640784353
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52776,"""{""""coordinates"""": [-123.1389845010699, 49.266249648901834], """"type"""": """"Point""""}""",Fairview,B61505,"49.266249648901834, -123.1389845010699",-123.1389845010699,49.266249648901834
Pay Station,$6.00,$7.00,$6.00,$7.00,$6.00,$7.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,,67623,"""{""""coordinates"""": [-123.10790599933749, 49.28409701326258], """"type"""": """"Point""""}""",Downtown,180150,"49.28409701326258, -123.10790599933749",-123.10790599933749,49.28409701326258
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52888,"""{""""coordinates"""": [-123.13976929362084, 49.266259847275464], """"type"""": """"Point""""}""",Fairview,B61521,"49.266259847275464, -123.13976929362084",-123.13976929362084,49.266259847275464
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53490,"""{""""coordinates"""": [-123.11755322756439, 49.26437203457143], """"type"""": """"Point""""}""",Fairview,802317,"49.26437203457143, -123.11755322756439",-123.11755322756439,49.26437203457143
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50257,"""{""""coordinates"""": [-123.11753600988592, 49.2648195635336], """"type"""": """"Point""""}""",Fairview,802301,"49.2648195635336, -123.11753600988592",-123.11753600988592,49.2648195635336
Single,$8.00,$7.00,$8.00,$7.00,$8.00,$7.00,$4.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,65274,"""{""""coordinates"""": [-123.11862622442153, 49.28764956471476], """"type"""": """"Point""""}""",Downtown,061029,"49.28764956471476, -123.11862622442153",-123.11862622442153,49.28764956471476
Twin,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,No,66448,"""{""""coordinates"""": [-123.13050294632899, 49.27777365812309], """"type"""": """"Point""""}""",Downtown,170916,"49.27777365812309, -123.13050294632899",-123.13050294632899,49.27777365812309
Single Motorbike,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No,56303,"""{""""coordinates"""": [-123.08160573491962, 49.26536615038741], """"type"""": """"Point""""}""",Strathcona,GN1099,"49.26536615038741, -123.08160573491962",-123.08160573491962,49.26536615038741
Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,Yes,56522,"""{""""coordinates"""": [-123.10138434525362, 49.253753482873314], """"type"""": """"Point""""}""",Riley Park,C90127,"49.253753482873314, -123.10138434525362",-123.10138434525362,49.253753482873314
Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,56698,"""{""""coordinates"""": [-123.10067613799967, 49.25212231484874], """"type"""": """"Point""""}""",Riley Park,E10201,"49.25212231484874, -123.10067613799967",-123.10067613799967,49.25212231484874
Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,56590,"""{""""coordinates"""": [-123.1005523996214, 49.25292900627159], """"type"""": """"Point""""}""",Riley Park,E00206,"49.25292900627159, -123.1005523996214",-123.1005523996214,49.25292900627159
Single Motorbike,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No,57177,"""{""""coordinates"""": [-123.09564720725868, 49.27181806964601], """"type"""": """"Point""""}""",Strathcona,9A1597,"49.27181806964601, -123.09564720725868",-123.09564720725868,49.27181806964601
Single Motorbike,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No,56601,"""{""""coordinates"""": [-123.10667112361736, 49.269108483471825], """"type"""": """"Point""""}""",Mount Pleasant,761897,"49.269108483471825, -123.10667112361736",-123.10667112361736,49.269108483471825
Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,No Time Limit,Yes,53046,"""{""""coordinates"""": [-123.09086833877487, 49.23093751592351], """"type"""": """"Point""""}""",Sunset,J30638,"49.23093751592351, -123.09086833877487",-123.09086833877487,49.23093751592351
Single,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,No Time Limit,Yes,53130,"""{""""coordinates"""": [-123.09120628377867, 49.23015903392825], """"type"""": """"Point""""}""",Sunset,J40633,"49.23015903392825, -123.09120628377867",-123.09120628377867,49.23015903392825
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52914,"""{""""coordinates"""": [-123.14005225742494, 49.26615849749191], """"type"""": """"Point""""}""",Fairview,B61520,"49.26615849749191, -123.14005225742494",-123.14005225742494,49.26615849749191
Single,$7.00,$4.00,$7.00,$4.00,$7.00,$4.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,60166,"""{""""coordinates"""": [-123.12569022043328, 49.27996430119912], """"type"""": """"Point""""}""",Downtown,631022,"49.27996430119912, -123.12569022043328",-123.12569022043328,49.27996430119912
Single,$8.00,$6.00,$8.00,$6.00,$8.00,$6.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65565,"""{""""coordinates"""": [-123.11345409275896, 49.284189440717476], """"type"""": """"Point""""}""",Downtown,600420,"49.284189440717476, -123.11345409275896",-123.11345409275896,49.284189440717476
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53096,"""{""""coordinates"""": [-123.12748210167382, 49.263535755222904], """"type"""": """"Point""""}""",Fairview,301015,"49.263535755222904, -123.12748210167382",-123.12748210167382,49.263535755222904
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51319,"""{""""coordinates"""": [-123.10691068444068, 49.26281963515876], """"type"""": """"Point""""}""",Mount Pleasant,762501,"49.26281963515876, -123.10691068444068",-123.10691068444068,49.26281963515876
Twin,$1.00,$3.00,$1.00,$3.00,$1.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65053,"""{""""coordinates"""": [-123.12957694715224, 49.2771730122962], """"type"""": """"Point""""}""",Downtown,170820,"49.2771730122962, -123.12957694715224",-123.12957694715224,49.2771730122962
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53095,"""{""""coordinates"""": [-123.13048273225887, 49.26355847361447], """"type"""": """"Point""""}""",Fairview,301125,"49.26355847361447, -123.13048273225887",-123.13048273225887,49.26355847361447
Single Motorbike,$1.50,$ .50,$1.50,$ .50,$1.50,$ .50,$1.50,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No,57954,"""{""""coordinates"""": [-123.13144679513212, 49.26333161014202], """"type"""": """"Point""""}""",Fairview,862597,"49.26333161014202, -123.13144679513212",-123.13144679513212,49.26333161014202
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53039,"""{""""coordinates"""": [-123.13040882525708, 49.263380290036494], """"type"""": """"Point""""}""",Fairview,301128,"49.263380290036494, -123.13040882525708",-123.13040882525708,49.263380290036494
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,No Time Limit,Yes,66619,"""{""""coordinates"""": [-123.13118742383304, 49.274395864712126], """"type"""": """"Point""""}""",Downtown,350715,"49.274395864712126, -123.13118742383304",-123.13118742383304,49.274395864712126
Single Motorbike,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No,56763,"""{""""coordinates"""": [-123.10073843570117, 49.254003485346054], """"type"""": """"Point""""}""",Riley Park,513498,"49.254003485346054, -123.10073843570117",-123.10073843570117,49.254003485346054
Single Motorbike,$1.00,$ .50,$1.00,$ .50,$1.00,$ .50,$1.00,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No,57090,"""{""""coordinates"""": [-123.09520444982488, 49.27183380809034], """"type"""": """"Point""""}""",Strathcona,TR0496,"49.27183380809034, -123.09520444982488",-123.09520444982488,49.27183380809034
Pay Station,$6.00,$7.00,$6.00,$7.00,$6.00,$7.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,66622,"""{""""coordinates"""": [-123.10623602297834, 49.28404558807187], """"type"""": """"Point""""}""",Downtown,540108,"49.28404558807187, -123.10623602297834",-123.10623602297834,49.28404558807187
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,4 Hr,4 Hr,4 Hr,4 Hr,,Yes,59951,"""{""""coordinates"""": [-123.11226068526827, 49.2680205168636], """"type"""": """"Point""""}""",Mount Pleasant,B20319,"49.2680205168636, -123.11226068526827",-123.11226068526827,49.2680205168636
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,52638,"""{""""coordinates"""": [-123.14650412419034, 49.26637195876837], """"type"""": """"Point""""}""",Kitsilano,B61813,"49.26637195876837, -123.14650412419034",-123.14650412419034,49.26637195876837
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53776,"""{""""coordinates"""": [-123.14254478124622, 49.26375363946987], """"type"""": """"Point""""}""",Fairview,301631,"49.26375363946987, -123.14254478124622",-123.14254478124622,49.26375363946987
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52575,"""{""""coordinates"""": [-123.14289171354338, 49.263759507577305], """"type"""": """"Point""""}""",Fairview,301637,"49.263759507577305, -123.14289171354338",-123.14289171354338,49.263759507577305
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52410,"""{""""coordinates"""": [-123.13030475030484, 49.26443427687433], """"type"""": """"Point""""}""",Fairview,B81133,"49.26443427687433, -123.13030475030484",-123.13030475030484,49.26443427687433
Twin,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50904,"""{""""coordinates"""": [-123.1024273246152, 49.26378046279987], """"type"""": """"Point""""}""",Mount Pleasant,A80109,"49.26378046279987, -123.1024273246152",-123.1024273246152,49.26378046279987
Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52490,"""{""""coordinates"""": [-123.11691139613701, 49.263346980439934], """"type"""": """"Point""""}""",Fairview,300527,"49.263346980439934, -123.11691139613701",-123.11691139613701,49.263346980439934
Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51925,"""{""""coordinates"""": [-123.11709402294517, 49.26334823473507], """"type"""": """"Point""""}""",Fairview,300529,"49.26334823473507, -123.11709402294517",-123.11709402294517,49.26334823473507
Twin,$2.00,$3.00,$2.00,$3.00,$2.00,$3.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54503,"""{""""coordinates"""": [-123.1018908789896, 49.263771402197435], """"type"""": """"Point""""}""",Mount Pleasant,A80123,"49.263771402197435, -123.1018908789896",-123.1018908789896,49.263771402197435
Twin,$1.00,$2.00,$1.00,$2.00,$1.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52081,"""{""""coordinates"""": [-123.17640904473514, 49.26412817938636], """"type"""": """"Point""""}""",Kitsilano,303210,"49.26412817938636, -123.17640904473514",-123.17640904473514,49.26412817938636
Twin,$1.00,$2.00,$1.00,$2.00,$1.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53771,"""{""""coordinates"""": [-123.1767550325686, 49.264133263620636], """"type"""": """"Point""""}""",Kitsilano,303216,"49.264133263620636, -123.1767550325686",-123.1767550325686,49.264133263620636
Twin,$1.00,$2.00,$1.00,$2.00,$1.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54797,"""{""""coordinates"""": [-123.17724953170992, 49.26414188807785], """"type"""": """"Point""""}""",Kitsilano,303228,"49.26414188807785, -123.17724953170992",-123.17724953170992,49.26414188807785
Twin,$7.00,$1.00,$7.00,$1.00,$7.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51170,"""{""""coordinates"""": [-123.12142087226678, 49.26341382336399], """"type"""": """"Point""""}""",Fairview,300731,"49.26341382336399, -123.12142087226678",-123.12142087226678,49.26341382336399
Twin,$1.00,$2.00,$1.00,$2.00,$1.00,$2.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54077,"""{""""coordinates"""": [-123.17718942123226, 49.26430567509147], """"type"""": """"Point""""}""",Kitsilano,303225,"49.26430567509147, -123.17718942123226",-123.17718942123226,49.26430567509147
Twin,$6.00,$1.00,$6.00,$1.00,$6.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50696,"""{""""coordinates"""": [-123.11977624955543, 49.26366263831119], """"type"""": """"Point""""}""",Fairview,812414,"49.26366263831119, -123.11977624955543",-123.11977624955543,49.26366263831119
Pay Station,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,26 Hrs,Yes,59889,"""{""""coordinates"""": [-123.10469101370839, 49.2659619836323], """"type"""": """"Point""""}""",Mount Pleasant,752112,"49.2659619836323, -123.10469101370839",-123.10469101370839,49.2659619836323
Twin,$3.00,$1.00,$3.00,$1.00,$3.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,50320,"""{""""coordinates"""": [-123.14425193403798, 49.26971695944198], """"type"""": """"Point""""}""",Fairview,B21720,"49.26971695944198, -123.14425193403798",-123.14425193403798,49.26971695944198
Twin,$4.00,$5.00,$4.00,$5.00,$4.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,67056,"""{""""coordinates"""": [-123.12422451262373, 49.284127847130094], """"type"""": """"Point""""}""",West End,121036,"49.284127847130094, -123.12422451262373",-123.12422451262373,49.284127847130094
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,51175,"""{""""coordinates"""": [-123.14133228267505, 49.267863778500534], """"type"""": """"Point""""}""",Fairview,B41606,"49.267863778500534, -123.14133228267505",-123.14133228267505,49.267863778500534
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,Yes,57114,"""{""""coordinates"""": [-123.1012734431394, 49.25947387232424], """"type"""": """"Point""""}""",Mount Pleasant,512813,"49.25947387232424, -123.1012734431394",-123.1012734431394,49.25947387232424
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54279,"""{""""coordinates"""": [-123.14220860288954, 49.26356794288323], """"type"""": """"Point""""}""",Fairview,301624,"49.26356794288323, -123.14220860288954",-123.14220860288954,49.26356794288323
Twin,$3.00,$5.00,$3.00,$5.00,$3.00,$5.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,50545,"""{""""coordinates"""": [-123.14724499388946, 49.26812949810086], """"type"""": """"Point""""}""",Kitsilano,B41829,"49.26812949810086, -123.14724499388946",-123.14724499388946,49.26812949810086
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65838,"""{""""coordinates"""": [-123.12627570180122, 49.28989394768557], """"type"""": """"Point""""}""",Downtown,061331,"49.28989394768557, -123.12627570180122",-123.12627570180122,49.28989394768557
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,65818,"""{""""coordinates"""": [-123.12643227470261, 49.28993977776112], """"type"""": """"Point""""}""",Downtown,061335,"49.28993977776112, -123.12643227470261",-123.12643227470261,49.28993977776112
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,53183,"""{""""coordinates"""": [-123.0990813323729, 49.26840541210679], """"type"""": """"Point""""}""",Strathcona,A20235,"49.26840541210679, -123.0990813323729",-123.0990813323729,49.26840541210679
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,50314,"""{""""coordinates"""": [-123.09882941789458, 49.26825094642474], """"type"""": """"Point""""}""",Strathcona,A20241,"49.26825094642474, -123.09882941789458",-123.09882941789458,49.26825094642474
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51570,"""{""""coordinates"""": [-123.16980091845282, 49.26418109486708], """"type"""": """"Point""""}""",Kitsilano,302829,"49.26418109486708, -123.16980091845282",-123.16980091845282,49.26418109486708
Twin,$2.00,$1.00,$2.00,$1.00,$2.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,51701,"""{""""coordinates"""": [-123.17040982448795, 49.26419255782012], """"type"""": """"Point""""}""",Kitsilano,302901,"49.26419255782012, -123.17040982448795",-123.17040982448795,49.26419255782012
Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,54146,"""{""""coordinates"""": [-123.11545229909332, 49.263115894549735], """"type"""": """"Point""""}""",Fairview,300506,"49.263115894549735, -123.11545229909332",-123.11545229909332,49.263115894549735
Twin,$5.00,$1.00,$5.00,$1.00,$5.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,52530,"""{""""coordinates"""": [-123.11562925427282, 49.26311960352346], """"type"""": """"Point""""}""",Fairview,300510,"49.26311960352346, -123.11562925427282",-123.11562925427282,49.26311960352346
