METERHEAD,R_MF_9A_6P,R_MF_6P_10,R_SA_9A_6P,R_SA_6P_10,R_SU_9A_6P,R_SU_6P_10,RATE_MISC,TIMEINEFFE,T_MF_9A_6P,T_MF_6P_10,T_SA_9A_6P,T_SA_6P_10,T_SU_9A_6P,T_SU_6P_10,TIME_MISC,CREDITCARD,PAY_PHONE,Geom,Geo Local Area,METERID,geo_point_2d,lon,lat
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53040,"""{""""coordinates"""": [-123.13273729298797, 49.263416794606215], """"type"""": """"Point""""}""",Fairview,301226,"49.263416794606215, -123.13273729298797",-123.13273729298797,49.263416794606215
Single Motorbike,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No Time Limit,No,67290,"""{""""coordinates"""": [-123.12715576681549, 49.283154960812595], """"type"""": """"Point""""}""",West End,650997,"49.283154960812595, -123.12715576681549",-123.12715576681549,49.283154960812595
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56905,"""{""""coordinates"""": [-123.1516544534971, 49.263698657681054], """"type"""": """"Point""""}""",Kitsilano,302022,"49.263698657681054, -123.1516544534971",-123.1516544534971,49.263698657681054
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56951,"""{""""coordinates"""": [-123.1513149651998, 49.26370015522168], """"type"""": """"Point""""}""",Kitsilano,302012,"49.26370015522168, -123.1513149651998",-123.1513149651998,49.26370015522168
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,53852,"""{""""coordinates"""": [-123.10085857474192, 49.26141233433038], """"type"""": """"Point""""}""",Mount Pleasant,512618,"49.26141233433038, -123.10085857474192",-123.10085857474192,49.26141233433038
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,,No,56902,"""{""""coordinates"""": [-123.15113667224696, 49.263701027240884], """"type"""": """"Point""""}""",Kitsilano,302010,"49.263701027240884, -123.15113667224696",-123.15113667224696,49.263701027240884
Twin,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,METER IN EFFECT: 9:00 AM TO 10:00 PM,3 Hr,4 Hr,3 Hr,4 Hr,3 Hr,4 Hr,,No,51083,"""{""""coordinates"""": [-123.142377752799, 49.26787994564378], """"type"""": """"Point""""}""",Fairview,B41630,"49.26787994564378, -123.142377752799",-123.142377752799,49.26787994564378
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59820,"""{""""coordinates"""": [-123.05524948777207, 49.281058917093794], """"type"""": """"Point""""}""",Hastings-Sunrise,072436,"49.281058917093794, -123.05524948777207",-123.05524948777207,49.281058917093794
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,13 Hrs,Yes,59817,"""{""""coordinates"""": [-123.05588078115453, 49.28122952188568], """"type"""": """"Point""""}""",Hastings-Sunrise,072413,"49.28122952188568, -123.05588078115453",-123.05588078115453,49.28122952188568
Pay Station,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$ .50,METER IN EFFECT: 9:00 AM TO 10:00 PM,2 Hr,4 Hr,2 Hr,4 Hr,2 Hr,4 Hr,No Time Limit,Yes,66618,"""{""""coordinates"""": [-123.13024847833559, 49.274637287408694], """"type"""": """"Point""""}""",Downtown,611447,"49.274637287408694, -123.13024847833559",-123.13024847833559,49.274637287408694
