Block,Street,lat,lon
500,TAYLOR ST,49.280101069326925,-123.10589101563566
2300,W 4TH AVE,49.268372708414766,-123.16802979988441
1500,W 1ST AVE,49.27115066311537,-123.14084618378423
1300,ARBUTUS ST,49.26460696437234,-123.15291600265175
4800,LAUREL ST,49.24989484740089,-123.12469369334647
1200,W 71ST AVE,49.206891691580495,-123.12821450354454
700,BEACH AVE,49.28888179240232,-123.14328157569678
1000,DUNSMUIR ST,49.28281542265042,-123.11520663229886
100,E 64TH AVE,49.2119322077673,-123.06905701336096
5900,WILLOW ST,49.23517238349831,-123.12383362819509
5500,OSLER ST,49.21470069521733,-123.13142811044982
1200,PARKER ST,49.27566567381834,-123.05722840702906
1400,FRANCES ST,49.279434856630814,-123.0737904824798
1000,ROBSON ST,49.2833121,-123.123159
700,E HASTINGS ST,49.281125450000005,-123.0235139
1300,E HASTINGS ST,49.281125450000005,-123.0235139
2700,E HASTINGS ST,49.28119992097435,-123.07183544904808
1500,BURNABY ST,49.28539689610159,-123.14109782086207
600,HOWE ST,49.28478563333309,-123.11664266117666
500,SEYMOUR ST,49.28386252193256,-123.1141175463516
1100,HORNBY ST,49.27775938621518,-123.12922779155286
700,NELSON ST,49.28663422573088,-123.13439612729385
1000,MAINLAND ST,49.2764887,-123.118966
2000,W 4TH AVE,49.268372708414766,-123.16802979988441
1600,W 2ND AVE,49.268471354173876,-123.01900681315158
700,RICHARDS ST,49.28389251320959,-123.11219890599861
2300,COMMERCIAL DRIVE,49.25649399485546,-123.06985350204602
1500,COMMERCIAL DRIVE,49.25649399485546,-123.06985350204602
1600,GRAVELEY ST,49.27052002648547,-123.0705910454805
1700,COMMERCIAL DRIVE,49.2694876,-123.0694167
1900,COMMERCIAL DRIVE,49.2676542,-123.0694186
2000,COMMERCIAL DRIVE,49.25649399485546,-123.06985350204602
9000,SHAUGHNESSY ST,49.21183978978081,-123.12876973011937
3300,MACKENZIE ST,49.256604711107805,-123.17009773965682
2200,HIGHBURY ST,49.270455650428815,-123.18757916237124
1900,WALLACE ST,49.26037759984131,-123.1909952552061
1600,GLEN DRIVE,49.278995991641985,-123.08134034625425
2300,ST CATHERINES ST,49.25049505885742,-123.08576061072654
2200,PRINCE ALBERT ST,49.212924011360265,-123.08815105623131
500,E 5TH AVE,49.266155188062044,-123.0910227225303
500,HAMILTON ST,49.2805274054667,-123.11336910827367
400,RICHARDS ST,49.28389251320959,-123.11219890599861
1900,MCNICOLL AVE,49.276238659368836,-123.1489152463299
1700,W 10TH AVE,49.26298122342149,-123.16007935506033
1600,W 10TH AVE,49.26298122342149,-123.16007935506033
1900,W 5TH AVE,49.26653047663682,-123.10709823256131
800,W HASTINGS ST,49.289948817085296,-123.12668230100182
1000,W HASTINGS ST,49.281125450000005,-123.0235139
700,HOWE ST,49.28478563333309,-123.11664266117666
700,HOMER ST,49.27373329017452,-123.12554583128659
1100,HARWOOD ST,49.2789967,-123.13386904991941
1600,E 10TH AVE,49.26158087156491,-123.09514400292088
1500,E 11TH AVE,49.26061466197664,-123.08822625059318
1800,OGDEN AVE,49.27679136718075,-123.14688777114695
1900,CREELMAN AVE,49.27449836796125,-123.15016020140685
1000,BURNABY ST,49.28539689610159,-123.14109782086207
800,BEATTY ST,49.276188201634184,-123.11608284286763
1300,CYPRESS ST,49.27115653749774,-123.14784700331332
2000,CREELMAN AVE,49.27449836796125,-123.15016020140685
1000,HOMER ST,49.27373329017452,-123.12554583128659
1600,MANITOBA ST,49.26699403571597,-123.10667013142847
1600,COLUMBIA ST,49.2738934,-123.132775
100,NATIONAL AVE,49.27471945575387,-123.09809105537343
100,SWITCHMEN ST,49.271084316757,-123.1014875956304
1600,ONTARIO ST,49.24747198861629,-123.10505632911918
600,W PENDER ST,49.2802225,-123.02352404999999
800,BURRARD ST,49.2828613,-123.12284249132792
1200,DAVIE ST,49.27359439420446,-123.12061726969179
1100,HOWE ST,49.28478563333309,-123.11664266117666
1000,HOWE ST,49.28478563333309,-123.11664266117666
400,ROBSON ST,49.29243851667212,-123.13692796815148
5400,WEST BLVD,49.218698991871406,-123.1500179489041
5600,YEW ST,49.25062300600435,-123.1558043313721
2200,W 41ST AVE,49.2334763157178,-123.11285640861217
5800,EAST BLVD,49.23665943364037,-123.1549507860067
2000,W 42ND AVE,49.23284977919072,-123.12326058130559
1500,HARWOOD ST,49.28356605132126,-123.14041724015753
1300,BURNABY ST,49.28539689610159,-123.14109782086207
1400,ROBSON ST,49.29243851667212,-123.13692796815148
1600,ROBSON ST,49.29243851667212,-123.13692796815148
1400,ALBERNI ST,49.293629536028696,-123.13660129384469
1400,W PENDER ST,49.2802225,-123.02352404999999
600,NICOLA ST,49.28568633466426,-123.13564419691893
1400,W HASTINGS ST,49.281125450000005,-123.0235139
500,CARDERO ST,49.287686122343814,-123.13497242450978
1600,ALBERNI ST,49.293629536028696,-123.13660129384469
1700,ALBERNI ST,49.293629536028696,-123.13660129384469
1500,ROBSON ST,49.2886432,-123.13167498884849
0,E PENDER ST,49.2802225,-123.02352404999999
300,COLUMBIA ST,49.2799599,-123.114652
0,E CORDOVA ST,49.282048512351665,-123.08613822395507
1300,HARWOOD ST,49.28356605132126,-123.14041724015753
1200,CARDERO ST,49.287686122343814,-123.13497242450978
1600,BURNABY ST,49.28539689610159,-123.14109782086207
1700,BURNABY ST,49.28539689610159,-123.14109782086207
100,W CORDOVA ST,49.28775548425263,-123.1166327266634
200,CARRALL ST,49.283129,-123.1041241
0,N DUNLEVY AVE,49.28264446885062,-123.09534123497272
200,ALEXANDER ST,49.284078819708526,-123.09828543289301
0,WATER ST,49.28337555659361,-123.10410993361447
100,ABBOTT ST,49.28411006755971,-123.10631053579574
400,RAILWAY ST,49.28460684200692,-123.09658239238219
700,THURLOW ST,49.284435007954905,-123.12510257255244
1000,ALBERNI ST,49.293629536028696,-123.13660129384469
1300,ROBSON ST,49.2872256,-123.1291922
1700,ROBSON ST,49.29243851667212,-123.13692796815148
1800,ALBERNI ST,49.293629536028696,-123.13660129384469
700,CHILCO ST,49.29374805,-123.13748163873178
900,SEYMOUR ST,49.2794177,-123.120598
800,RAYMUR AVE,49.277098086044454,-123.08258643871731
4800,QUEBEC ST,49.271086992086865,-123.10239064507557
100,W 3RD AVE,49.26885462785312,-123.13918976627207
0,W 4TH AVE,49.268372708414766,-123.16802979988441
0,E 5TH AVE,49.266155188062044,-123.0910227225303
1600,E PENDER ST,49.2802225,-123.02352404999999
4500,WALDEN ST,49.23950924744181,-123.10015365612033
3900,PERRY ST,49.24600817153986,-123.07136919648103
300,E PENDER ST,49.28008375,-123.09636345946643
100,DUNLEVY AVE,49.28264446885062,-123.09534123497272
700,E CORDOVA ST,49.282048512351665,-123.08613822395507
1000,E CORDOVA ST,49.282048512351665,-123.08613822395507
300,VERNON DRIVE,49.280369482785666,-123.07910136652104
1100,E PENDER ST,49.2802225,-123.02352404999999
1400,WILLIAM ST,49.27402798262585,-123.07588470098692
1600,COTTON DRIVE,49.274645205590446,-123.07155586556495
1200,COTTON DRIVE,49.274645205590446,-123.07155586556495
100,COLUMBIA ST,49.26324444369478,-123.10946385027341
600,GORE AVE,49.27852219359092,-123.09708823255964
900,HOWE ST,49.2806445,-123.122251
700,BIDWELL ST,49.29011252015495,-123.1344055722779
400,ALEXANDER ST,49.284078819708526,-123.09828543289301
700,ALEXANDER ST,49.284078819708526,-123.09828543289301
600,ALEXANDER ST,49.284078819708526,-123.09828543289301
500,GRANVILLE ST,49.2844173,-123.1149173
1200,HORNBY ST,49.2780745,-123.12816794920734
500,HELMCKEN ST,49.27812185749912,-123.12448432469849
1000,RICHARDS ST,49.28389251320959,-123.11219890599861
400,DAVIE ST,49.27359439420446,-123.12061726969179
1100,MAINLAND ST,49.275582790205796,-123.12054994860388
100,DRAKE ST,49.272676195349675,-123.12251200235632
100,POWELL ST,49.2829803,-123.1019731543109
100,MAIN ST,49.264741967509515,-123.1009572308099
700,W HASTINGS ST,49.281125450000005,-123.0235139
600,W HASTINGS ST,49.281125450000005,-123.0235139
400,HAMILTON ST,49.2805274054667,-123.11336910827367
200,E GEORGIA ST,49.2784661,-123.0235409
1400,BURRARD ST,49.28347620299196,-123.12253533515829
1100,GRANVILLE ST,49.277662649999996,-123.12472844433549
900,GRANVILLE ST,49.2800971,-123.121444
2000,W 11TH AVE,49.26278126382685,-123.20060620052341
2600,ARBUTUS ST,49.26460696437234,-123.15291600265175
2700,W BROADWAY,49.263649475047416,-123.1389344042681
2100,W 10TH AVE,49.26298122342149,-123.16007935506033
1500,W 7TH AVE,49.264726471922174,-123.10786395058216
1600,W 7TH AVE,49.264726471922174,-123.10786395058216
700,NICOLA ST,49.28568633466426,-123.13564419691893
1000,CAMBIE ST,49.2492150960783,-123.11539090524424
900,HOMER ST,49.27373329017452,-123.12554583128659
1900,KINGSWAY,49.241372639934724,-123.05686279086896
1400,COMMERCIAL DRIVE,49.25649399485546,-123.06985350204602
1700,PARKER ST,49.27566567381834,-123.05722840702906
1700,GRANT ST,49.27148204398399,-123.07544380736825
2500,KINGSWAY,49.241372639934724,-123.05686279086896
600,HOMER ST,49.27373329017452,-123.12554583128659
900,BEACH AVE,49.28888179240232,-123.14328157569678
1000,SEE-EM-IA LANE,49.28343289739472,-123.13483940394087
1300,CARDERO ST,49.287686122343814,-123.13497242450978
1800,JEPSON-YOUNG LANE,49.283880726855514,-123.13336763911242
2000,NELSON ST,49.28663422573088,-123.13439612729385
1800,ROSEMARY BROWN LANE,49.28815141912881,-123.13137240064738
600,HAMILTON ST,49.2806911,-123.112557
400,W 8TH AVE,49.26445433343878,-123.1349402207505
2400,YUKON ST,49.265012373996754,-123.11284932674448
500,W 8TH AVE,49.26445433343878,-123.1349402207505
2400,ASH ST,49.234556833243914,-123.11784027039413
400,W 6TH AVE,49.266263496690875,-123.14330665670455
2100,ALBERTA ST,49.22466096360293,-123.1130356940569
400,W 18TH AVE,49.25524809980556,-123.1223461399506
500,W 10TH AVE,49.262033849999995,-123.11573884313344
2600,ASH ST,49.234556833243914,-123.11784027039413
1700,VERNON DRIVE,49.280369482785666,-123.07910136652104
1500,VERNON DRIVE,49.280369482785666,-123.07910136652104
1300,VERNON DRIVE,49.280369482785666,-123.07910136652104
200,CENTRAL ST,49.27173126167619,-123.10115120934708
1500,STATION ST,49.27086541433368,-123.09807326654818
300,SEYMOUR ST,49.28386252193256,-123.1141175463516
200,THURLOW ST,49.284435007954905,-123.12510257255244
100,ALEXANDER ST,49.284078819708526,-123.09828543289301
900,E HASTINGS ST,49.281125450000005,-123.0235139
2900,E HASTINGS ST,49.28119992097435,-123.07183544904808
900,COMMERCIAL DRIVE,49.25649399485546,-123.06985350204602
500,NICOLA ST,49.28568633466426,-123.13564419691893
1300,W HASTINGS ST,49.281125450000005,-123.0235139
300,CAMBIE ST,49.2831924,-123.109049
500,COLUMBIA ST,49.26324444369478,-123.10946385027341
2400,GRAVELEY ST,49.27052002648547,-123.0705910454805
